"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"AZGP1",-1.37256967941807,7.70945869127473,-1.21473934110331,0.255744639941625,0.999950192382521,-4.5710557211579,"Downregulated"
"SPP2",-1.28840557335264,5.23635415508885,-1.21328822182302,0.256271901592057,0.999950192382521,-4.57126092281963,"Downregulated"
"TDO2",-1.54022415058868,7.28465030950781,-1.20854310084388,0.258002227641897,0.999950192382521,-4.57193112597796,"Downregulated"
"C3P1",-1.49389243426226,7.26428045209569,-1.19115854773063,0.264422981501197,0.999950192382521,-4.57437588029734,"Downregulated"
"ADH1B",-1.71127739233643,7.65665302588897,-1.18144718167497,0.268065753461175,0.999950192382521,-4.57573412857466,"Downregulated"
"CPS1-IT1",-1.52794680595676,7.33782430109267,-1.17326329026142,0.271166930409123,0.999950192382521,-4.576874502231,"Downregulated"
"TLCD4",-1.16959370242857,6.92750492422156,-1.16239512161821,0.275329844629451,0.999950192382521,-4.57838280598663,"Downregulated"
"AR",-1.12978124121439,7.1816752480165,-1.1502046643719,0.280060058843848,0.999950192382521,-4.58006616139155,"Downregulated"
"HP",-1.20573401733336,12.3523376530048,-1.13719670104759,0.285178810144011,0.999950192382521,-4.58185231594666,"Downregulated"
"CYP2C9",-1.42596542431185,9.26939731879099,-1.12519865749145,0.289965805255809,0.999950192382521,-4.58349034774776,"Downregulated"
"DHRS1",-1.1351430552243,5.9341317226951,-1.12246829764959,0.291064004186412,0.999950192382521,-4.58386182203429,"Downregulated"
"IDO2",-1.18182585091153,4.26608667781339,-1.09627325214854,0.301767565431628,0.999950192382521,-4.58740087969652,"Downregulated"
"ALDH8A1",-1.35898857530604,7.5786248901556,-1.09475766294289,0.302396170025991,0.999950192382521,-4.58760423918802,"Downregulated"
"BHMT",-1.89798943516649,7.85236197723314,-1.08868705894811,0.304924272823086,0.999950192382521,-4.58841721540609,"Downregulated"
"ANGPTL3",-1.29093062477761,7.16511930036785,-1.08628306058249,0.305929964000076,0.999950192382521,-4.58873846148562,"Downregulated"
"DEFB1",-1.14215991923888,7.25857285937732,-1.06284732351031,0.315869739921763,0.999950192382521,-4.59184906172495,"Downregulated"
"CYP3A4",-1.15194615661256,8.18483724346087,-1.05883506289943,0.317596208009762,0.999950192382521,-4.59237770094492,"Downregulated"
"LINC00844",-1.25852046226522,6.06700201835048,-1.05700101491344,0.318387812965823,0.999950192382521,-4.5926189614928,"Downregulated"
"CYP3A43",-1.45224792103864,6.03184665358295,-1.05626058537992,0.318707824496335,0.999950192382521,-4.59271629267944,"Downregulated"
"CHI3L1",-1.12051770179091,8.48120770290182,-1.05385379521615,0.319749742268388,0.999950192382521,-4.59303239632646,"Downregulated"
"CNDP1",-1.45840757431193,4.41346270675726,-1.04919393405321,0.321774471137574,0.999950192382521,-4.59364321595754,"Downregulated"
"CRP",-1.03463091292195,8.94719327191388,-1.04105607794524,0.325333967462751,0.999950192382521,-4.59470611374685,"Downregulated"
"FBP1",-1.03638625699907,7.72514347962295,-1.039961137545,0.325815184572624,0.999950192382521,-4.59484875192706,"Downregulated"
"AADAC",-1.24235169638828,6.6204568678892,-1.03583885414568,0.327631772341485,0.999950192382521,-4.59538496237543,"Downregulated"
"APOF",-1.08493238541854,5.51536523430088,-1.02576000493374,0.332105784626851,0.999950192382521,-4.59669060929464,"Downregulated"
"ACMSD",-1.06832166673202,6.26083908934599,-1.02067953616427,0.334378534978279,0.999950192382521,-4.59734583115454,"Downregulated"
"ADH1C",-1.72540142707677,7.52839497627077,-1.01913305705358,0.335072688450428,0.999950192382521,-4.59754488696742,"Downregulated"
